ID,WWTP,"Nitrosomonas_europaea|ATCC_19718,ATCC_25978,Nm35,Nm50","Nitrosomonas_nitrosa|Nm91,Nm146,,Nm90",Nitrosomonas_stercoris_KYUHINS,"Nitrosospira_multiformis|ATCC_25196_Nl13,ATCC_25196",Nitrosomonas_eutropha_Nm24,"Nitrosomonas_eutropha|Nm38,Nm19,Nm14",Nitrosomonas_halophila_Nm1,Nitrosospira_multiformis_Nl18,"Nitrosomonas_eutropha|C91,Nm_57,Nm56",Nitrosomonas_sp._Nm134,Nitrosomonas_oligotropha_Nm49,Nitrosospira_sp._Nsp14
T1,TFC,97.5,0.015,0.82,0.005,0.043,0.028,1.596,0,0.002,0,0,0
T2,TFC,85.364,0.529,1.064,0.406,1.231,1.518,9.878,0.024,0,0.005,0,0.005
T3,TFC,87.556,0.696,0.843,0.141,0.998,1.309,8.337,0.015,0.098,0,0.003,0
T4,TFC,85.291,1.522,0.109,0.002,1.417,0.91,10.675,0,0.073,0,0,0
C1,CSC,91.276,2.287,2.931,0.014,3.207,0.118,0,0.007,0.155,0,0,0
C2,CSC,33.505,63.101,0.733,0.661,1.256,0.535,0.088,0.033,0.054,0.017,0.008,0
C3,CSC,4.457,79.985,0.665,0.286,7.565,0.989,0.053,0.02,5.984,0.004,0,0
C4,CSC,2.83,19.984,0.597,0.002,74.939,0.549,0.079,0,1.02,0,0,0
C5,CSC,2.292,9.672,0.02,0.003,79.609,0.859,0.077,0,7.474,0,0,0
PCB,PCB.SBR,95.849,0.324,2.866,0.192,0.318,0.384,0.045,0.003,0.008,0.009,0,0
LCD2,PCB.SBR,3.626,1.809,37.024,29.441,10.212,16.143,0.111,0.716,0.497,0.4,0.018,0.006
LCD1,PCB.SBR,11.195,4.022,42.374,12.602,10.075,19.121,0.105,0.1,0.36,0.027,0.006,0
SBR7,TSC,3.852,1.002,59.152,0.212,10.008,25.651,0.086,0.006,0.032,0.003,0,0
R2.O,PCB.CSTR,1.99,96.03,0.557,0.365,0.672,0.262,0.06,0.018,0.046,0.005,0,0
SBR0,TSC,0.86,0.073,96.667,0.822,1.17,0.207,0.038,0.111,0.033,0.008,0.008,0.009
R1.A,PCB.CSTR,0.225,0.929,2.842,80.302,0.265,0.116,0.048,13.61,0.009,0.492,0.706,0.462
R1.O,PCB.CSTR,0.49,4.84,4.655,81.327,0.53,0.236,0.051,6.84,0.052,0.404,0.464,0.107
